Code postal;Numéro;Implantation;Date de mise en service
75001;1069;Jardin des Halles — allée Nord-Ouest, Coquillière;27/01/17
75001;1071;Halles — Canopée Sud-Ouest, rue Berger;02/03/17
75001;10439;Rue Berger, rue Pierre Lescot;23/03/12
75001;10642;Rue de Rivoli, rue des Bourdonnais;14/12/12
75001;11011;Rue Berger, Porte Berger (Forum des Halles);21/01/13
75001;11498;Rue Rambuteau, boulevard de Sébastopol;03/02/12
75001;11522;Quai des Tuileries, pont de Solférino — Seine;10/10/14
75001;16739;Place Vendôme;02/11/12
75001;16819;Rue des Pyramides, avenue de l'Opéra;06/07/12
75001;16887;Quai de la Mégisserie, Pont Neuf;21/12/11
75001;21868;Place Palais Royal;21/12/11
75001;23987;Rue de la Paix, rue Danielle Casanova;02/11/12
75001;29222;Place Joachim du Bellay, rue Saint-Denis, rue des Innocents;27/01/12
75001;30950;Place du Châtelet;20/01/12
75001;34698;Rue Pierre Lescot, rue de Turbigo;27/01/12
75001;35346;Rue Colonel Driant, rue Valois;08/06/12
75001;35388;Place André Malraux, avenue Opéra;25/01/13
75001;42234;Place Joachim du Bellay, rue Berger, rue Pierre Lescot;09/11/12
75001;43353;Place du Palais-Royal;27/01/12
75001;44373;Rue de Rivoli, rue de l'Echelle;08/06/12
75001;44805;Rue de Rivoli, rue du 29 Juillet;08/06/12
75001;46685;Avenue du Général Lemonnier, rue de Rivoli;20/01/12
75001;50256;Rue de Viarmes, rue Adolphe Julien;08/06/12
75001;51066;Place de la Concorde, rue de Rivoli;11/01/13
75001;57222;Rue Saint-Honoré, place Vendôme;07/09/12
75001;58791;Place Joachim du Bellay, rue des Innocents;09/03/12
75001;60777;Place Maurice Barrès — rue Cambon, rue Saint-Honoré;21/09/12
75001;67140;Rue de Rivoli, rue de Marengo;08/06/12
75001;67865;Rue Coquillière, rue du Louvre;04/05/12
75001;70744;Place Maurice Quentin;04/05/12
75001;74254;Rue du Cygne, rue Saint-Denis;24/02/12
75001;77747;Place Joachim du Bellay, rue Berger, rue Saint-Denis;03/02/12
75001;79769;Rue Croix des Petits Champs, rue Vrillière;04/05/12
75001;79777;Place du Carrousel;22/02/13
75001;79901;Rue de Rivoli, rue de Castiglione;25/05/12
75001;81411;Place du Châtelet, avenue Victoria;21/12/11
75001;82064;Rue de la Reynie, boulevard de Sébastopol;17/02/12
75001;82655;Rue Pierre Lescot, rue de la Cossonnerie;02/03/12
75001;88364;Pont Neuf amont — Seine;22/05/15
75001;89978;Pont de la Concorde amont — Seine;01/03/13
75001;92689;Pont de la Concorde aval — Seine;01/03/13
75001;96356;Pont des Arts amont — Seine;21/12/12
75001;99000;Quai François Mitterrand, Pont du Carrousel;01/03/13
75001;99375;Pont Neuf en aval — Seine;22/05/15
75002;2006;Boulevard des Capucines, rue Scribe;Début 2019
