Code postal;Numéro;Implantation;Rue croisement 1;Rue croisement 2;Rue croisement 3;Précision de l’implantation;Date de mise en service
75001;46685;Avenue du Général Lemonnier, rue de Rivoli;Avenue du Général Lemonnier; rue de Rivoli;;croisement;20/01/12
75001;01065;Halles — Canopée Nord-Ouest, rue Rambuteau;;;;point décrit;02/03/17
75001;01070;Halles — Canopée Nord-Ouest;;;;point décrit;inconnue
75001;01071;Halles — Canopée Sud-Ouest, rue Berger;;;;point décrit;02/03/17
75001;01058;Jardin des Halles, Colonne Médicis;Jardin des Halles; Colonne Médicis;;croisement;inconnue
75001;01059;Jardin des Halles, Porte du Louvre;Jardin des Halles; Porte du Louvre;;croisement;inconnue
75001;01060;Jardin des Halles, rue Berger, rue des Prouvaires;Jardin des Halles; rue Berger; rue des Prouvaires;croisement;inconnue
75001;01069;Jardin des Halles — allée Nord-Ouest, Coquillière;;;;point décrit;27/01/17
75001;01068;Jardin des Halles — Prairie Est;;;;point décrit;inconnue
75001;01067;Jardin des Halles — Prairie Ouest;;;;point décrit;02/03/17
75001;01066;Jardin des Halles — Saint-Eustache, Rambuteau;;;;point décrit;27/01/17
75001;01072;Jardin des Halles — Sud-Ouest Canopée;;;;point décrit;inconnue
75001;79777;Place du Carrousel;;;;adresse imprécise;22/02/13
75001;30950;Place du Châtelet;;;;adresse imprécise;20/01/12
75001;58791;Place Joachim du Bellay, rue des Innocents;Place Joachim du Bellay; rue des Innocents;;croisement;09/03/12
75001;77747;Place Joachim du Bellay, rue Berger, rue Saint-Denis;Place Joachim du Bellay; rue Berger; rue Saint-Denis;croisement;03/02/12
75001;29222;Place Joachim du Bellay, rue Saint-Denis, rue des Innocents;Place Joachim du Bellay; rue Saint-Denis; rue des Innocents;croisement;27/01/12
75001;42234;Place Joachim du Bellay, rue Berger, rue Pierre Lescot;Place Joachim du Bellay; rue Berger; rue Pierre Lescot;croisement;09/11/12
75001;01053;Place Joachim du Bellay (Toiture hôtel Citadines);;;;point décrit;19/10/16
75001;70744;Place Maurice Quentin;;;;adresse précise;04/05/12
75001;92689;Pont de la Concorde aval — Seine;;;;point décrit;01/03/13
75001;88364;Pont Neuf amont — Seine;;;;point décrit;22/05/15
75001;99375;Pont Neuf en aval — Seine;;;;point décrit;22/05/15
75001;16887;Quai de la Mégisserie, Pont Neuf;Quai de la Mégisserie; Pont Neuf;;croisement;21/12/11
75001;11522;Quai des Tuileries, pont de Solférino — Seine;;;;point décrit;10/10/14
75001;99000;Quai François Mitterrand, Pont du Carrousel;Quai François Mitterrand; Pont du Carrousel;;croisement;01/03/13
75001;10439;Rue Berger, rue Pierre Lescot;Rue Berger; rue Pierre Lescot;;croisement;23/03/12
75001;35346;Rue Colonel Driant, rue Valois;Rue Colonel Driant; rue Valois;;croisement;08/06/12
75001;67865;Rue Coquillière, rue du Louvre;Rue Coquillière; rue du Louvre;;croisement;04/05/12
75001;79769;Rue Croix des Petits Champs, rue Vrillière;Rue Croix des Petits Champs; rue Vrillière;;croisement;04/05/12
75001;23987;Rue de la Paix, rue Danielle Casanova;Rue de la Paix; rue Danielle Casanova;;croisement;02/11/12
75001;82064;Rue de la Reynie, boulevard de Sébastopol;Rue de la Reynie; boulevard de Sébastopol;;croisement;17/02/12
75001;44805;Rue de Rivoli, rue du 29 Juillet;Rue de Rivoli; rue du 29 Juillet;;croisement;08/06/12
75001;67140;Rue de Rivoli, rue de Marengo;Rue de Rivoli; rue de Marengo;;croisement;08/06/12
75001;79901;Rue de Rivoli, rue de Castiglione;Rue de Rivoli; rue de Castiglione;;croisement;25/05/12
75001;10642;Rue de Rivoli, rue des Bourdonnais;Rue de Rivoli; rue des Bourdonnais;;croisement;14/12/12
75001;44373;Rue de Rivoli, rue de l'Echelle;Rue de Rivoli; rue de l'Echelle;;croisement;08/06/12
75001;01049;Rue des Halles, rue de la Ferronerie;Rue des Halles; rue de la Ferronerie;;croisement;08/11/18
75001;16819;Rue des Pyramides, avenue de l'Opéra;Rue des Pyramides; avenue de l'Opéra;;croisement;06/07/12
75001;74254;Rue du Cygne, rue Saint-Denis;Rue du Cygne; rue Saint-Denis;;croisement;24/02/12
75001;01011;Rue du Jour, rue Rambuteau;Rue du Jour; rue Rambuteau;;croisement;11/10/13
75001;01055;Rue Montmartre, rue de Turbigo;Rue Montmartre; rue de Turbigo;;croisement;10/03/17
75001;01056;Rue Montorgueil, rue de Turbigo;Rue Montorgueil; rue de Turbigo;;croisement;10/03/17
75001;82655;Rue Pierre Lescot, rue de la Cossonnerie;Rue Pierre Lescot; rue de la Cossonnerie;;croisement;02/03/12
75001;34698;Rue Pierre Lescot, rue de Turbigo;Rue Pierre Lescot; rue de Turbigo;;croisement;27/01/12
75001;11498;Rue Rambuteau, boulevard de Sébastopol;Rue Rambuteau; boulevard de Sébastopol;;croisement;03/02/12
75001;01051;Rue Saint-Denis, rue de Rivoli;Rue Saint-Denis; rue de Rivoli;;croisement;08/07/16
75002;67171;19, boulevard Poissonnière;;;;adresse précise;04/05/12
75002;15493;Boulevard des Capucines, rue Caumartin;Boulevard des Capucines; rue Caumartin;;croisement;13/04/12
75002;70766;Boulevard des Italiens, rue de la Michodière;Boulevard des Italiens; rue de la Michodière;;croisement;03/08/12
75002;89516;Boulevard des Italiens, rue Le Peletier, rue Favart;Boulevard des Italiens; rue Le Peletier; rue Favart;croisement;13/04/12
75002;72618;Boulevard Poissonnière, rue Poissonnière;Boulevard Poissonnière; rue Poissonnière;;croisement;26/10/12
75002;88097;Boulevard Poissonnière, rue Montmartre;Boulevard Poissonnière; rue Montmartre;;croisement;09/03/12
75002;91229;Boulevard Saint-Denis, boulevard de Sébastopol;Boulevard Saint-Denis; boulevard de Sébastopol;;croisement;22/06/12
75002;17326;Rue d'Antin, avenue de l'Opéra;Rue d'Antin; avenue de l'Opéra;;croisement;12/10/12
75002;89465;Rue Danielle Casanova, avenue de l'Opéra;Rue Danielle Casanova; avenue de l'Opéra;;croisement;12/10/12
75002;40753;Rue Daunou, rue de la Paix;Rue Daunou; rue de la Paix;;croisement;30/03/12
75002;26709;Rue de Gramont, boulevard des Italiens;Rue de Gramont; boulevard des Italiens;;croisement;08/06/12
75002;02033;Rue de la Lune, rue Notre-Dame de Bonne Nouvelle;Rue de la Lune; rue Notre-Dame de Bonne Nouvelle;;croisement;25/11/16
75002;29697;Rue Drouot, boulevard Haussmann;Rue Drouot; boulevard Haussmann;;croisement;13/04/12
75002;12927;Rue du Saint-Denis, rue Greneta;Rue du Saint-Denis; rue Greneta;;croisement;06/07/12
75002;72870;Rue Radziwill, rue des Petits Champs;Rue Radziwill; rue des Petits Champs;;croisement;09/03/12
75002;18870;Rue Réaumur, rue Saint-Denis;Rue Réaumur; rue Saint-Denis;;croisement;21/12/11
75002;22579;Rue Réaumur, boulevard de Sébastopol;Rue Réaumur; boulevard de Sébastopol;;croisement;20/07/12
75002;78022;Rue Réaumur, rue des Petits Carreaux;Rue Réaumur; rue des Petits Carreaux;;croisement;18/01/13
75002;15991;Rue Saint-Denis, rue Sainte-Apolline;Rue Saint-Denis; rue Sainte-Apolline;;croisement;21/09/12
75002;96475;Rue Vivienne, boulevard Montmartre;Rue Vivienne; boulevard Montmartre;;croisement;22/06/12
75003;55744;9, place de la République;;;;adresse précise;28/09/12
75003;29963;Boulevard Beaumarchais, rue Saint-Sébastien;Boulevard Beaumarchais; rue Saint-Sébastien;;croisement;17/08/12
75003;86717;Boulevard Beaumarchais, rue des Arquebusiers;Boulevard Beaumarchais; rue des Arquebusiers;;croisement;14/09/12
75003;40244;Boulevard de Sébastopol, rue de Turbigo;Boulevard de Sébastopol; rue de Turbigo;;croisement;25/05/12
75003;45415;Boulevard des Filles du Calvaire, rue des Filles du Calvaire;Boulevard des Filles du Calvaire; rue des Filles du Calvaire;;croisement;06/07/12
75003;27643;Place de la République, boulevard du Temple;Place de la République; boulevard du Temple;;croisement;14/09/12
75003;84550;Place de la République, rue du Temple;Place de la République; rue du Temple;;croisement;12/10/12
75003;77904;Rue de Bretagne, rue de Turenne;Rue de Bretagne; rue de Turenne;;croisement;08/05/15
75003;03033;Rue de Montgolfier, rue Borda;Rue de Montgolfier; rue Borda;;croisement;28/07/16
75003;56119;Rue de Picardie, rue de Franche Comté;Rue de Picardie; rue de Franche Comté;;croisement;29/06/12
75003;76984;Rue de Réaumur, rue de Bretagne;Rue de Réaumur; rue de Bretagne;;croisement;29/06/12
75003;27377;Rue de Turbigo, rue des Fontaines du Temple;Rue de Turbigo; rue des Fontaines du Temple;;croisement;18/05/12
75003;84854;Rue de Turbigo, rue du Temple;Rue de Turbigo; rue du Temple;;croisement;27/04/12
75003;03036;Rue du Temple, rue Michel le Comte;Rue du Temple; rue Michel le Comte;;croisement;29/07/16
75003;23535;Rue du Temple, rue Rambuteau;Rue du Temple; rue Rambuteau;;croisement;13/01/12
75003;54318;Rue Perrée, rue Eugène Spuller;Rue Perrée; rue Eugène Spuller;;croisement;29/06/12
75003;36697;Rue Réaumur, rue de Turbigo;Rue Réaumur; rue de Turbigo;;croisement;20/01/12
75003;03040;Rue Vieille du Temple, rue de la Perle;Rue Vieille du Temple; rue de la Perle;;croisement;08/07/16
75004;83818;18, boulevard Morland;;;;adresse précise;01/03/13
75004;45070;3, rue de Lobau;;;;adresse précise;27/04/12
75004;04059;Boulevard Bourdon, rue Bassompierre;Boulevard Bourdon; rue Bassompierre;;croisement;11/05/17
75004;79965;Boulevard Bourdon, boulevard Morland;Boulevard Bourdon; boulevard Morland;;croisement;09/01/12
75004;68710;Boulevard du Palais, quai des Orfèvres;Boulevard du Palais; quai des Orfèvres;;croisement;16/03/12
75004;51827;Cité/Notre-Dame;;;;point décrit;16/11/12
75004;57088;Ile Saint-Louis Pointe amont — Seine;;;;point décrit;27/07/12
75004;24684;Place Baudoyer, rue François Miron;Place Baudoyer; rue François Miron;;croisement;27/04/12
75004;29297;Place de l'Hôtel de Ville, avenue Victoria;Place de l'Hôtel de Ville; avenue Victoria;;croisement;03/02/12
75004;43699;Place du Marché Sainte-Catherine;;;;adresse imprécise;25/05/12
75004;82723;Place Louis Lépine abords de la Cité;;;;point décrit;16/11/12
75004;99492;Pont d'Arcole amont — Seine;;;;point décrit;26/10/12
75004;42910;Pont Louis Philippe, quai de l'Hôtel de Ville;Pont Louis Philippe; quai de l'Hôtel de Ville;;croisement;09/11/12
75004;96299;Pont Marie amont — Seine;;;;point décrit;27/07/12
75004;93031;Pont Notre-Dame, quai de Corse;Pont Notre-Dame; quai de Corse;;croisement;22/06/12
75004;14314;Port de l'Hôtel de Ville — Seine;;;;point décrit;24/10/14
75004;14914;Port des Célestins — Seine;;;;point décrit;19/09/14
75004;27843;Quai d'Orléans, rue Jean du Bellay;Quai d'Orléans; rue Jean du Bellay;;croisement;13/01/12
75004;29770;Quai de Gesvres, rue Saint-Martin;Quai de Gesvres; rue Saint-Martin;;croisement;21/12/11
75004;66461;Quai des Célestins, pont Marie;Quai des Célestins; pont Marie;;croisement;06/07/12
75004;25230;Quai Henri IV, Pont de Sully;Quai Henri IV; Pont de Sully;;croisement;01/03/13
75004;31606;Rue de la Coutellerie, avenue Victoria;Rue de la Coutellerie; avenue Victoria;;croisement;21/12/11
75004;47437;Rue de la Verrerie, rue du Renard;Rue de la Verrerie; rue du Renard;;croisement;08/06/12
75004;84795;Rue de Lobau, rue de Rivoli;Rue de Lobau; rue de Rivoli;;croisement;30/03/12
75004;15518;Rue de Rivoli, rue Saint-Martin;Rue de Rivoli; rue Saint-Martin;;croisement;21/12/11
75004;67079;Rue de Rivoli, boulevard de Sébastopol;Rue de Rivoli; boulevard de Sébastopol;;croisement;27/04/12
