nom1,nom2,lat,lon
Accès Camping de Boulogne,Allée du Bord de l'Eau,2.2348687,48.8682123
Accès Parking,Boulevard du Montparnasse,2.3320375,48.8412514
Accès Parking Alma Georges V,Sortie Parking Alma Georges V,2.3014348,48.8652666
Accès Parking Baudoyer,Rue de Rivoli,2.3554159,48.856532
Accès Parking Centre Pompidou,Rue Beaubourg,2.3534388,48.86116915
Accès Parking Champs-Élysées,Rue La Boétie,2.3054805,48.8706255
Accès Parking Concorde,Place de la Concorde,2.3201142,48.8661395
Accès Parking de l'Hôtel de Ville,Quai de Gesvres,2.3494889,48.8565204
Accès Parking des Petits Champs,Rue du Colonel Driant,2.3403399,48.8634085
Accès Parking du Pont de l'Europe,Boulevard des Batignolles,2.3211766,48.8821256
Accès Parking du Rond-Point,Avenue Matignon,2.310811,48.8693402
Accès Parking du Rond-Point,Promenade des Champs Elysées,2.31102286666667,48.8690534666667
Accès Parking Étoile - Foch,Avenue Foch,2.2830244,48.8725111
Accès Parking Euronort Lariboisière,Rue Ambroise Paré,2.3522009,48.8819859
Accès Parking Gare du Nord,Rue de Compiègne,2.35368099363687,48.8802332635114
Accès Parking Gare du Nord,Rue de Dunkerque,2.35370605030271,48.8801515959582
Accès Parking Haussmann Berri,Boulevard Haussmann,2.3092513,48.875036
Accès Parking Hoche,Avenue Hoche,2.3023086,48.8768076
Accès Parking Jean Bouin,Rue Nungesser et Coli,2.2520339,48.8443596
Accès Parking Kléber,Avenue Kléber,2.289533,48.8661934
Accès Parking La Tour Maubourg,Quai d'Orsay,2.3096351,48.8623975
Accès Parking La Tour Maubourg,Rue Desgenettes,2.3096351,48.8623975
Accès Parking Lobau Rivoli,Rue de Lobau,2.3533145,48.8561017
Accès Parking Lutèce,Boulevard du Palais,2.3459488,48.85542135
Accès Parking Madeleine Tronchet,Place de la Madeleine,2.32397615,48.87034795
Accès Parking Malesherbes Anjou,Boulevard Malesherbes,2.3212851,48.87285595
Accès Parking Maubert - Saint-Germain,Boulevard Saint-Germain,2.3508914,48.8495946
Accès Parking Montparnasse Raspail,Boulevard du Montparnasse,2.3307428,48.8415344
Accès Parking Notre-Dame,Parvis Notre-Dame - Place Jean-Paul II,2.34763425,48.85374925
Accès Parking Notre-Dame,Rue de la Cité,2.3473522,48.8540077
Accès Parking Opéra Bastille,Avenue Daumesnil,2.3713874,48.8492731
Accès Parking Parking Pierre Charron,Rue Pierre Charron,2.3047146,48.8702163
Accès Parking Picpus Nation,Boulevard de Picpus,2.4001536,48.846518
Accès Parking Place Victor Hugo,Avenue Victor Hugo,2.2847313,48.8694107
Accès Parking Pont Neuf,Quai des Orfèvres,2.3427088,48.8556196
Accès Parking Porte de Saint-Cloud,Avenue de la Porte de Saint-Cloud,2.2539642,48.8386937
Accès Parking Porte de Saint-Cloud,Avenue du Parc des Princes,2.2545894,48.8399671
Accès Parking Porte de Saint-Cloud,Boulevard Périphérique Intérieur,2.25410935033483,48.8399432116344
Accès Parking Porte Maillot,Place de la Porte Maillot,2.281818,48.8771494
Accès Parking Pyramides,Avenue de l'Opéra,2.3341256,48.8663923
Accès Parking Rivoli - Pont Neuf,Rue du Pont Neuf,2.343482,48.8593533
Accès Parking Saint-Germain des Prés,Boulevard Saint-Germain,2.33160055,48.85417635
Accès Parking Saint-Germain des Prés,Rue du Dragon,2.3315718,48.8541094
Accès Parking Saint-Germain l'Auxerrois,Place du Louvre,2.3409425,48.860298
Accès Parking Versailles - Paul Reynaud,Avenue de Versailles,2.2628022,48.8396061
Accès Parking Villiers,Avenue de Villiers,2.3144698,48.881753
Accès Turbigo (Voie A1),Entrée Turbigo,2.3478516,48.863443
Accès Turbigo (Voie A1),Sortie Turbigo (Voie S1),2.34787758051454,48.8629816185551
Accès Turbigo (Voie A1),Souterrain Grande Boucle (Voie BCL),2.3478933,48.8629747
Aire Livraison Nord,Accès Turbigo (Voie A1),2.3478516,48.863443
Aire Livraison Nord,Entrée Turbigo,2.3478516,48.863443
Aire Livraison Nord,Rue Mondétour,2.34802940242218,48.8629130211755
Aire Livraison Nord,Sortie Turbigo (Voie S1),2.34714183637742,48.862975801925
Aire Livraison Nord,Souterrain Grande Boucle (Voie BCL),2.34761672321626,48.8629935104859
Allée 39/45,Allée des Arbres,2.3195438,48.8227708
Allée 39/45,Allée des Chapelles,2.3191887,48.8221515
