Code postal;Numéro;Implantation;Précision de l’implantation;Date de mise en service;lon;lat
75001;1051;Rue Saint-Denis, rue de Rivoli;croisement;08/07/16;2.34750188;48.85875016
75001;1055;Rue Montmartre, rue de Turbigo;croisement;10/03/17;2.3461244;48.8632432
75001;1056;Rue Montorgueil, rue de Turbigo;croisement;10/03/17;2.3462907;48.8632732
75001;1057;Quai François Mitterrand, rue de l'Amiral de Coligny;croisement;08/06/18;2.339848;48.8589898
75002;2006;Boulevard des Capucines, rue Scribe;croisement;Début 2019;2.329943;48.8702501
75002;2033;Rue de la Lune, rue Notre-Dame de Bonne Nouvelle;croisement;25/11/16;2.349715;48.8697696
75004;4051;Rue des Francs Bourgeois, rue Vieille du Temple;croisement;24/11/16;2.3587623;48.8586836
75004;4058;Rue de Sully, boulevard Henri IV;croisement;08/07/16;2.3626942;48.851188
75005;5013;Place Alphonse Laveran, rue Saint-Jacques;croisement;23/03/17;2.34098007029582;48.840843154665
75005;5051;Rue du Fouarre, rue Lagrange;croisement;21/12/16;2.3477327;48.8517007
75005;5053;Rue Saint-Jacques, rue Soufflot;croisement;16/05/18;2.3433551;48.846796
75005;5054;Rue Poliveau, rue Geoffroy Saint-Hilaire;croisement;22/07/16;2.356594;48.8397034
75005;5058;Rue Pierre Nicole, rue du Val de Grâce;croisement;30/09/16;2.339799;48.8411817
75007;7092;Rue de Grenelle, rue des Saints-Pères;croisement;19/09/18;2.3293938;48.8527255
75008;8096;Place de la Concorde, avenue Gabriel;croisement;13/07/18;2.3206535;48.8670939
75008;8107;Rue du Faubourg Saint-Honoré, avenue Matignon;croisement;07/04/17;2.3141793;48.8717648
75008;8114;Avenue George V, rue François 1er;croisement;09/11/17;2.3009879;48.8700562
75008;8122;Avenue Montaigne, rue du Boccador;croisement;20/02/17;2.30400703333333;48.8658456
75009;9062;Rue La Bruyère, rue Notre-Dame de Lorette;croisement;25/11/16;2.3370284;48.8788344
75010;10036;Boulevard de la Chapelle, rue Guy Patin;croisement;Début 2019;2.3512804;48.8837384
75010;10067;Rue de Paradis, rue Martel;croisement;14/06/17;2.3534685;48.8747743
75010;10072;Rue Saint-Maur, rue du Buisson Saint-Louis;croisement;04/08/16;2.3719804;48.8717838
75012;10557;Boulevard de la Bastille, rue Jules César;croisement;29/06/12;2.3679398;48.84878345
75020;10594;Avenue Gambetta, boulevard Mortier, rue de Belleville;croisement;14/12/12;2.4066398;48.8770052
75018;10630;Place Jules Joffrin, rue Hermel;croisement;11/05/12;2.3451015;48.8926182
75009;10756;Rue Pierre Fontaine, rue Jean-Baptiste Pigalle;croisement;06/07/12;2.3350485;48.8804359
75010;10966;Rue du Faubourg Saint-Martin, rue La Fayette;croisement;12/10/12;2.3657877;48.8816108
75004;11218;Rue Rambuteau, rue Beaubourg;croisement;21/12/11;2.35345275;48.861238125
75001;11498;Rue Rambuteau, boulevard de Sébastopol;croisement;03/02/12;2.3501341;48.8619936571429
75016;11751;Place de Colombie, boulevard Suchet, boulevard Lannes, Porte de la Muette;croisement;09/11/12;2.268078425;48.862590175
75012;12003;Rue Villiot, rue de Bercy;croisement;31/05/18;2.3764201;48.8421014
75012;12090;Rue Jacques Hillairet, rue Albinoni;croisement;20/10/16;2.3883015;48.8429924
75010;12116;Boulevard de Strasbourg, rue Saint-Laurent;croisement;20/04/12;2.35773035;48.8754828
75005;12312;Rue Blainville, place de la Contrescarpe;croisement;19/10/12;2.3492551;48.8445074
75007;12509;Boulevard Saint-Germain, boulevard Raspail;croisement;23/03/12;2.32567686666667;48.8562032666667
75013;12569;Rue des Frères d'Astier de la Vigerie, rue Simone Weil;croisement;01/06/12;2.3634942;48.8241148
75020;12735;Rue Louis Lumière, rue Louis Ganne;croisement;19/10/12;2.4107318;48.8635232
75010;12742;Place de la Bataille de Stalingrad, rue du Faubourg Saint-Martin;croisement;16/05/14;2.3685981;48.8838514
75019;12969;Rue Archereau, rue de Crimée;croisement;31/08/12;2.3750776;48.8921563
75006;13067;Boulevard Raspail, rue de Rennes;croisement;18/05/12;2.3278513;48.8479939
75013;13075;Rue du Château des Rentiers, rue Ricaut;croisement;01/08/16;2.3622164;48.830247
75013;13077;Boulevard Masséna, avenue de la Porte de Vitry;croisement;14/11/16;2.3770382;48.8240531
75013;13081;Rue Bourgon, rue du Moulin de la Pointe;croisement;30/11/16;2.3565767;48.8229657
75013;13084;Rue de Tolbiac, rue Bobillot;croisement;10/03/17;2.3503781;48.8258123
75013;13086;Rue de la Glacière, boulevard Arago;croisement;24/02/17;2.3449903;48.8349543
75013;13087;Rue Jean-Baptiste Berlier, allée Paris-Ivry;croisement;inconnue;2.3850316;48.8259388
75015;13273;Rue Bargue, rue Platon;croisement;21/12/11;2.3095789;48.8376062
75013;13412;Pont Charles de Gaulle, quai d'Austerlitz;croisement;18/01/13;2.3678915;48.8419483
75011;13871;Boulevard Voltaire, rue Jean-Pierre Timbaud;croisement;01/03/13;2.3677758;48.8651851
75014;14001;Avenue du Maine, rue de la Gaîté;croisement;inconnue;2.3226197;48.8385148
75014;14064;Avenue du Général Leclerc, rue Mouton Duvernet;croisement;03/07/18;2.329928;48.8313576
75014;14251;Rue du Cange, rue de Gergovie;croisement;17/02/12;2.3144351;48.8339302
75012;14293;Boulevard Diderot, rue Michel Chasles;croisement;06/04/12;2.3738871;48.8459318
75016;14429;Quai Saint-Exupéry, rue du Général Niox;croisement;15/06/12;2.2637945;48.8364026
75016;14530;Boulevard Flandrin, avenue Henri Martin;croisement;17/02/12;2.2721479;48.8640939
75003;14591;Rue Papin, rue Saint-Martin;croisement;22/02/13;2.3542308;48.8667478
75013;14707;Avenue d'Italie, boulevard Kellermann, boulevard Massena;croisement;07/09/12;2.35948616666667;48.8190558666667
75019;14821;Rue du Département, rue de Tanger;croisement;04/05/12;2.3674155;48.8848699
75015;15113;Rue Brancion, rue de Vouillé;croisement;07/11/16;2.3051594;48.8347253
75004;15518;Rue de Rivoli, rue Saint-Martin;croisement;21/12/11;2.3496671;48.85804106
75013;15868;Rue des Peupliers, rue du docteur Tuffier;croisement;07/09/12;2.3526895;48.8221517
75016;16005;Avenue du Général Mangin, avenue de Lamballe;croisement;27/02/17;2.2813848;48.8544989
75016;16006;Avenue de Lamballe, rue Raynouard;croisement;27/02/17;2.2784069;48.8543589
75016;16071;Avenue Chantemesse, avenue du Maréchal Fayolle;croisement;10/08/16;2.27019425;48.867254
75016;16092;Rue Benjamin Franklin, rue Le Tasse;croisement;13/02/18;2.2859032;48.8604234
75016;16109;Avenue Kléber, rue Boissière;croisement;23/03/17;2.28994328;48.86681256
75016;16137;Rue du Sergent Maginot, rue de l'Arioste;croisement;02/09/16;2.2549304;48.8413917
75016;16146;Boulevard Murat, quai Saint-Exupéry;croisement;04/11/16;2.2663143;48.8387501
75011;16178;Rue Oberkampf, boulevard Voltaire;croisement;05/07/13;2.3701152;48.8637623666667
75013;16244;Avenue de la Porte d'Ivry, avenue Claude Régaud;croisement;19/10/12;2.37181383;48.82026106
75017;16458;Avenue de la Porte d'Asnières, boulevard Berthier;croisement;09/03/12;2.303881325;48.890136975
75006;16543;Place Paul Claudel, rue Rotrou;croisement;08/05/15;2.33842015;48.8492163
